Start, End, Cost
Vung Tau,Nam Dinh,763.0408831
Vung Tau,Thai Nguyen,727.5183372
Vung Tau,Phu Tho,691.0139505
Vung Tau,Thai Binh,759.4534477
Vung Tau,Quang Ninh,814.2838006
Ca Mau,Ha Noi,899.6576933
Ca Mau,Hai Phong,985.1640008
Ca Mau,Bac Ninh,934.3655821
Ca Mau,Hai Duong,965.4243089
Ca Mau,Thanh Hoa,947.0286637
Ca Mau,Nam Dinh,958.4927931
Ca Mau,Thai Nguyen,922.9702472
Ca Mau,Phu Tho,886.4658605
Ca Mau,Thai Binh,954.9053577
Ca Mau,Quang Ninh,1009.735711
Soc Trang,Ha Noi,824.8600342
Soc Trang,Hai Phong,910.3663417
Soc Trang,Bac Ninh,859.567923
Soc Trang,Hai Duong,890.6266498
Soc Trang,Thanh Hoa,872.2310046
Soc Trang,Nam Dinh,883.695134
Soc Trang,Thai Nguyen,848.1725881
Soc Trang,Phu Tho,811.6682014
Soc Trang,Thai Binh,880.1076986
Soc Trang,Quang Ninh,934.9380516
An Giang,Ha Noi,772.0497873
An Giang,Hai Phong,857.5560948
An Giang,Bac Ninh,806.7576762
An Giang,Hai Duong,837.816403
An Giang,Thanh Hoa,819.4207577
An Giang,Nam Dinh,830.8848872
An Giang,Thai Nguyen,795.3623413
An Giang,Phu Tho,758.8579545
An Giang,Thai Binh,827.2974517
An Giang,Quang Ninh,882.1278047
Lam Dong,Ha Noi,800.824716
Lam Dong,Hai Phong,886.3310235
Lam Dong,Bac Ninh,835.5326049
Lam Dong,Hai Duong,866.5913316
Lam Dong,Thanh Hoa,848.1956864
Lam Dong,Nam Dinh,859.6598159
Lam Dong,Thai Nguyen,824.13727
Lam Dong,Phu Tho,787.6328832
Lam Dong,Thai Binh,856.0723804
Lam Dong,Quang Ninh,910.9027334
Binh Duong,Ha Noi,676.8467162
Binh Duong,Hai Phong,762.3530237
Binh Duong,Bac Ninh,711.5546051
Binh Duong,Hai Duong,742.6133318
Binh Duong,Thanh Hoa,724.2176866
Binh Duong,Nam Dinh,735.6818161
Binh Duong,Thai Nguyen,700.1592701
Binh Duong,Phu Tho,663.6548834
Binh Duong,Thai Binh,732.0943806
Binh Duong,Quang Ninh,1519.019114
